subject,n_ref,centre_err_median,centre_err_p90,scale_err_median,scale_err_p90,centre_err_EDA,centre_err_HR,centre_err_IMU,centre_err_CROSS
S8,30,0.36746987951807225,0.8923379832838554,0.45165321491897886,1.0,0.001235043530520556,0.6186489863130848,0.2674272386977561,1.414593258729815
S8,40,0.31205268225191946,0.9111830951158695,0.6102934852511384,1.0,0.004946729907233798,0.4340342891063395,0.2985208778149334,0.8115747374137823
S8,50,0.22353016912366536,1.051699271927604,0.6554627849435516,1.0,0.013875825063823958,0.18775793718195974,0.3056931928749499,0.7046255078080664
S8,75,0.11231655970240748,0.5637791487900153,0.525041046688855,1.0,0.028537268418837244,0.08330177726623533,0.17619121463842197,0.4529218562455796
S8,100,0.058177656051997054,0.39884980766948824,0.3799751436757892,1.0,0.02208569008111727,0.17671221672103887,0.0426188058331466,0.3417940851079818
S9,10,0.272945607292277,1.172742167342814,0.6294119313480747,1.0,0.028051821108092023,0.43813935275494015,0.6155198158044505,0.8064137791258235
S9,15,0.2527131484377468,0.9452612654413031,0.44680230731398096,1.0,0.02529251091257995,0.6916620086828458,0.29396906112949456,0.5346888890174057
S9,20,0.18513383691271718,0.8736428204529985,0.44705776377145034,1.0,0.022485416086064594,0.7543182354801202,0.18154422168096257,0.41417228615540425
S9,25,0.19067842056944706,0.7374830068835064,0.6559080297771815,1.0,0.01881131535486095,0.575515211113765,0.19745749046030364,0.316703583363253
S9,30,0.2051792809820098,0.6674666593802018,0.6159688390974734,1.0,0.014369476688762964,0.39448108502663776,0.20986320121759017,0.29837011236313915
S9,40,0.09778127657534283,0.6318391814761466,0.6542841033229865,1.0,0.002715116082499261,0.5860120818358241,0.08695652173913042,0.24695384131382359
S9,50,0.0924139240374002,0.3859671604682346,0.7003004852480295,1.0,0.004758659873929011,0.2867473217892998,0.09455763392708552,0.19297374236672982
S9,75,0.11094063545063954,0.39687006267932556,0.5367826947672658,1.0,0.025412359515914588,0.3560044790317683,0.11212115135803534,0.22063611724896262
S9,100,0.1555064366869539,0.3710189350406735,0.49061367936387146,1.0,0.012702963508081023,0.3418782222611543,0.17245975696402518,0.20932438744522883
