subject,n_test,accuracy,balanced_acc,macro_f1,n_ref,eval
S3,301,0.7043189368770764,0.6228813559322034,0.5994767137624281,25,fixed
S4,304,1.0,1.0,1.0,25,fixed
S5,314,0.6273885350318471,0.5084033613445378,0.40114431023521935,25,fixed
S6,312,0.9102564102564102,0.884297520661157,0.9004330977889219,25,fixed
S7,311,0.9614147909967846,0.9491525423728814,0.9581389088298635,25,fixed
S8,312,0.9326923076923077,0.9153225806451613,0.9272961306716674,25,fixed
S9,311,0.9807073954983923,0.9747899159663865,0.9793766578249337,25,fixed
S10,401,0.8877805486284289,0.895349484823169,0.879003868925887,25,per_n
S11,392,0.8392857142857143,0.75,0.7803921568627451,25,per_n
S13,392,0.9336734693877551,0.9493259508907077,0.9268152573529411,25,per_n
S14,392,0.9438775510204082,0.9273182957393484,0.9345476624165149,25,per_n
S15,393,0.926208651399491,0.9452830188679245,0.9201806912490809,25,per_n
S16,390,0.8179487179487179,0.8660377358490565,0.8120660517581904,25,per_n
S17,401,0.8204488778054863,0.7333333333333334,0.7585791691751956,25,per_n
S2,370,0.6918918918918919,0.4980544747081712,0.40894568690095845,25,per_n
S3,376,0.7632978723404256,0.6228813559322034,0.6237251925563614,25,per_n
S4,379,1.0,1.0,1.0,25,per_n
S5,389,0.699228791773779,0.5084033613445378,0.42748782972942373,25,per_n
S6,387,0.9276485788113695,0.884297520661157,0.9095794392523364,25,per_n
S7,386,0.9689119170984456,0.9491525423728814,0.9622653806047967,25,per_n
S8,387,0.9457364341085271,0.9153225806451613,0.9345488809606262,25,per_n
S9,386,0.9844559585492227,0.9747899159663865,0.9815134099616858,25,per_n
S10,326,0.754601226993865,0.777545084351367,0.754601226993865,30,fixed
S11,317,0.8296529968454258,0.7978683620044877,0.8104066985645932,30,fixed
S13,317,0.9242902208201893,0.9334990807287313,0.9222785223929388,30,fixed
S14,317,0.8927444794952681,0.8745325355272999,0.8844355807171042,30,fixed
S15,318,0.8930817610062893,0.9105263157894736,0.892246362367949,30,fixed
S16,315,0.8476190476190476,0.8736842105263158,0.8471739306218161,30,fixed
S17,326,0.843558282208589,0.8111111111111111,0.8246701888702584,30,fixed
S2,295,0.6135593220338983,0.49725274725274726,0.3802521008403361,30,fixed
S3,301,0.7109634551495017,0.6313559322033898,0.6120272012089426,30,fixed
S4,304,1.0,1.0,1.0,30,fixed
S5,314,0.8152866242038217,0.7563025210084033,0.774156746031746,30,fixed
S6,312,0.9455128205128205,0.9297520661157025,0.9409189640768587,30,fixed
S7,311,0.9228295819935691,0.8983050847457628,0.9141279337321675,30,fixed
S8,312,0.9743589743589743,0.967741935483871,0.9729166666666667,30,fixed
S9,311,0.9935691318327974,0.9915966386554622,0.9931720382892772,30,fixed
S10,396,0.7853535353535354,0.8157088122605364,0.7794103190882817,30,per_n
S11,387,0.8604651162790697,0.8041871921182266,0.8266129032258065,30,per_n
S13,387,0.9354005167958657,0.9460781307494174,0.9285286882521109,30,per_n
S14,387,0.9121447028423773,0.8794471811713191,0.8953588242778979,30,per_n
S15,388,0.9123711340206185,0.9346153846153846,0.9063998864765148,30,per_n
S16,385,0.8753246753246753,0.9076923076923077,0.8686156296212035,30,per_n
S17,396,0.8712121212121212,0.8111111111111111,0.8390590260345693,30,per_n
S2,365,0.6876712328767123,0.498015873015873,0.4074675324675325,30,per_n
S3,371,0.7654986522911051,0.6313559322033898,0.634697873399957,30,per_n
S4,374,1.0,1.0,1.0,30,per_n
S5,384,0.8489583333333334,0.7563025210084033,0.7895691609977324,30,per_n
S6,382,0.9554973821989529,0.9297520661157025,0.9464522778808493,30,per_n
S7,381,0.937007874015748,0.8983050847457628,0.9215780445969126,30,per_n
S8,382,0.9790575916230366,0.967741935483871,0.9756997455470737,30,per_n
S9,381,0.994750656167979,0.9915966386554622,0.9938615711799961,30,per_n
S10,326,0.9263803680981595,0.929571456273027,0.9248847926267281,40,fixed
S11,317,0.9116719242902208,0.8956411534945566,0.9051709401709402,40,fixed
S13,317,0.8990536277602523,0.8825004178505766,0.8912334877337451,40,fixed
S14,317,0.6782334384858044,0.6006399069226294,0.5700723327305606,40,fixed
S15,318,0.8333333333333334,0.8605263157894737,0.8331997268489653,40,fixed
S16,315,0.8634920634920635,0.8868421052631579,0.8628229408249866,40,fixed
S17,326,0.7699386503067485,0.7222222222222222,0.7256354149133143,40,fixed
S2,295,0.6610169491525424,0.5575221238938053,0.495415982484948,40,fixed
S3,301,0.6677740863787376,0.576271186440678,0.5250568038374148,40,fixed
S4,304,0.9703947368421053,0.9759358288770054,0.9691527143581937,40,fixed
S5,314,0.9076433121019108,0.8781512605042017,0.8960158043187814,40,fixed
S6,312,0.9839743589743589,0.9808532733330448,0.9830462424604685,40,fixed
S7,311,0.9356913183279743,0.9152542372881356,0.9290731618317825,40,fixed
S8,312,0.9743589743589743,0.967741935483871,0.9729166666666667,40,fixed
S9,311,0.9967845659163987,0.9957983193277311,0.9965915940599486,40,fixed
S10,386,0.9378238341968912,0.9402095322414048,0.932752613240418,40,per_n
